date,year_dec,doy,modisvar,meandoy,data_loess,spline,interpl,sgfiltered,modisvar_interpol
11/09/12,2012.693989,NA,NA,NaN,0.710878136,0.68738021,0.7,0.699484133,0.68738021
12/09/12,2012.696721,NA,NA,NaN,0.708412335,0.687669085,0.7,0.698675055,0.687669085
13/09/12,2012.699454,NA,NA,NaN,0.705602967,0.688058064,0.7,0.698548665,0.688058064
14/09/12,2012.702186,NA,NA,NaN,0.702571375,0.68855226,0.7,0.69831106,0.68855226
15/09/12,2012.704918,259,0.7,0.686,0.6994389,0.689156789,0.7,0.697032889,0.689156789
16/09/12,2012.70765,NA,NA,NaN,0.696326885,0.689876766,0.72,0.694748126,0.689876766
17/09/12,2012.710383,NA,NA,NaN,0.693356672,0.690717306,0.74,0.691481687,0.690717306
18/09/12,2012.713115,NA,NA,NaN,0.690649602,0.691683524,0.76,0.688383882,0.691683524
19/09/12,2012.715847,263,0.78,0.693571429,0.688327019,0.692780534,0.78,0.687469592,0.692780534
20/09/12,2012.718579,NA,NA,NaN,0.686510263,0.694013452,0.7475,0.688579979,0.694013452
21/09/12,2012.721311,NA,NA,NaN,0.685320677,0.695387393,0.715,0.691570364,0.695387393
22/09/12,2012.724044,NA,NA,NaN,0.684879604,0.696907471,0.6825,0.695621447,0.696907471
23/09/12,2012.726776,267,0.65,0.686428571,0.685308384,0.698578802,0.65,0.698458232,0.698578802
24/09/12,2012.729508,NA,NA,NaN,0.686330578,0.7004065,0.64,0.700269287,0.7004065
25/09/12,2012.73224,NA,NA,NaN,0.687584984,0.702395681,0.63,0.701235249,0.702395681
26/09/12,2012.734973,NA,NA,NaN,0.689065803,0.704551459,0.62,0.701528829,0.704551459
27/09/12,2012.737705,271,0.61,0.723571429,0.690767234,0.706878949,0.61,0.701314809,0.706878949
28/09/12,2012.740437,NA,NA,NaN,0.692683478,0.709383267,0.6325,0.700750045,0.709383267
29/09/12,2012.743169,NA,NA,NaN,0.694808736,0.712069527,0.655,0.699983465,0.712069527
30/09/12,2012.745902,NA,NA,NaN,0.697137208,0.714942844,0.6775,0.699196584,0.714942844
01/10/12,2012.748634,275,0.7,0.759230769,0.699663094,0.718008333,0.7,0.70069424,0.718008333
02/10/12,2012.751366,NA,NA,NaN,0.702882553,0.721267788,0.715,0.704158475,0.721267788
03/10/12,2012.754098,NA,NA,NaN,0.707183483,0.724709714,0.73,0.70928209,0.724709714
04/10/12,2012.756831,NA,NA,NaN,0.712397694,0.728319297,0.745,0.715768647,0.728319297
05/10/12,2012.759563,279,0.76,0.759375,0.718356995,0.732081722,0.76,0.721068314,0.732081722
06/10/12,2012.762295,NA,NA,NaN,0.724893198,0.735982173,0.755,0.725377868,0.735982173
07/10/12,2012.765027,NA,NA,NaN,0.731838112,0.740005834,0.75,0.728885592,0.740005834
08/10/12,2012.76776,NA,NA,NaN,0.739023547,0.744137892,0.745,0.731771275,0.744137892
09/10/12,2012.770492,283,0.74,0.773076923,0.746281313,0.748363531,0.74,0.735471472,0.748363531
10/10/12,2012.773224,NA,NA,NaN,0.75344322,0.752667935,0.765,0.739885388,0.752667935
11/10/12,2012.775956,NA,NA,NaN,0.760341078,0.757036289,0.79,0.744914494,0.757036289
12/10/12,2012.778689,NA,NA,NaN,0.766806697,0.761453778,0.815,0.751110784,0.761453778
13/10/12,2012.781421,287,0.84,0.787142857,0.772671886,0.765905587,0.84,0.758300528,0.765905587
14/10/12,2012.784153,NA,NA,NaN,0.778115709,0.770376901,0.7975,0.766558189,0.770376901
15/10/12,2012.786885,NA,NA,NaN,0.783425624,0.774852904,0.755,0.775963329,0.774852904
16/10/12,2012.789617,NA,NA,NaN,0.788596038,0.779318782,0.7125,0.784898922,0.779318782
17/10/12,2012.79235,291,0.67,0.748461538,0.793621355,0.783759719,0.67,0.793139595,0.783759719
18/10/12,2012.795082,NA,NA,NaN,0.798495981,0.788160899,0.70375,0.800453181,0.788160899
19/10/12,2012.797814,NA,NA,NaN,0.803214323,0.792507508,0.7375,0.806600716,0.792507508
20/10/12,2012.800546,NA,NA,NaN,0.807770786,0.796784731,0.77125,0.812065732,0.796784731
21/10/12,2012.803279,NA,NA,NaN,0.812159775,0.800977752,0.805,0.816863915,0.800977752
22/10/12,2012.806011,NA,NA,NaN,0.816375696,0.805071756,0.83875,0.82084832,0.805071756
23/10/12,2012.808743,NA,NA,NaN,0.820412956,0.809051928,0.8725,0.823871435,0.809051928
24/10/12,2012.811475,NA,NA,NaN,0.824265958,0.812903453,0.90625,0.826838603,0.812903453
25/10/12,2012.814208,299,0.94,0.771428571,0.827929111,0.816611515,0.94,0.82959648,0.816611515
26/10/12,2012.81694,NA,NA,NaN,0.831604392,0.820161299,0.8925,0.832239915,0.820161299
